Cluster,Customer_Count,Recency_mean,Recency_std,Recency_min,Recency_max,Frequency_mean,Frequency_std,Frequency_min,Frequency_max,Monetary_mean,Monetary_std,Monetary_min,Monetary_max,Monetary_sum,Pct_of_Customers,Pct_of_Revenue,Cluster_Name
0,8197,3.43,2.32,1,20,16.16,2.16,11,26,203705.48,31390.26,131391.94,373735.17,1669773811.45,16.4,24.4,Premium Customers (High Tier)
1,9867,15.39,7.89,6,67,9.19,1.36,6,15,108193.86,17373.17,50751.07,166431.5,1067548839.36,19.7,15.6,Standard Customers (Mid Tier)
2,11255,11.48,5.52,5,56,13.0,1.75,9,22,160927.42,24617.24,98458.29,290136.64,1811238094.05,22.5,26.5,Standard Customers (High Tier)
3,3424,17.34,12.16,1,81,5.72,1.34,1,10,59520.47,15435.65,196.33,99325.82,203798096.86,6.8,3.0,Standard Customers (Low Tier)
4,6078,3.52,1.96,1,9,8.24,1.33,4,13,90772.81,15702.37,40071.7,136638.76,551717121.31,12.2,8.1,New Customers (Low Tier)
5,11179,2.76,1.49,1,6,11.59,1.48,8,18,138057.29,18929.6,84759.95,204264.76,1543342406.72,22.4,22.5,New Customers (Mid Tier)
