Method,True_Positives,False_Positives,False_Negatives,True_Negatives,Precision,Recall (Sensitivity),Specificity,F1_Score,Accuracy,False_Positive_Rate
Z-Score,37402,26651,246913,257664,0.5839226890231527,0.1315512723563653,0.9062624202029439,0.21472695540348136,0.5189068462796546,0.09373757979705608
Isolation Forest,9062,2304,275253,282011,0.7972901636459616,0.031873098499903274,0.9918963121889454,0.06129578836651661,0.5118847053444243,0.00810368781105464
Combined Method,159226,127965,125089,156350,0.5544254520510741,0.5600337653658793,0.5499182245045109,0.5572154973001158,0.5549759949351951,0.45008177549548917
