Threshold,Anomalies_Detected,Anomaly_Rate,Precision,Recall,F1_Score,Accuracy
2.5,64053,0.11264442607671069,0.5839226890231527,0.1315512723563653,0.21472695540348136,0.5189068462796546
3.0,27970,0.04918840018993018,0.6139435109045406,0.060397798216766614,0.10997646380709929,0.5112093980268364
3.5,13773,0.02422137418004678,0.5775793218616133,0.027979529746935617,0.05337350044282225,0.5037581555668889
4.0,9460,0.016636477146826582,0.5745243128964059,0.019116121203594606,0.03700110628882649,0.502479644056768
