Contamination,Anomalies_Detected,Anomaly_Rate,Precision,Recall,F1_Score,Accuracy
0.001,566,0.0009953748483196455,0.8480565371024735,0.0016882682939697168,0.003369828103664337,0.50069289344565
0.002,1135,0.001996025535057946,0.8176211453744493,0.0032639853683414525,0.00650201436328604,0.5012679598332835
0.005,2842,0.004997977595272849,0.7466572836030964,0.007463552749591123,0.014779371563291161,0.5024655751543182
0.01,5653,0.009941438193552926,0.8268176189633822,0.016439512512530115,0.032238040059592785,0.5064980743189772
0.02,11366,0.01998839315547896,0.7972901636459616,0.031873098499903274,0.06129578836651661,0.5118847053444243
